timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
93.91,993,t993,270,200.0,55,1,2,0.691460478454884,False,62.9688476470975,2.594997175873753,False,False
93.92,994,t994,170,100.0,85,3,2,0.7026497084557517,True,17.089078302014148,1.5366360981113039,True,False
94.01,996,t996,170,700.0,63,6,1,0.6366293074443471,False,138.22788862119225,1.7274601064872968,False,False
94.06,997,t997,120,75.0,72,2,6,0.6926520936879105,True,9.163230541062546,1.284118586601999,True,False
94.11,998,t998,300,250.0,70,6,3,0.6289545185284126,False,252.506602261267,8.169440294912116,False,True
94.12,999,t999,270,900.0,30,7,5,0.7096881511343457,False,272.36355512440934,2.4524809580686227,False,False
94.21,1000,t1000,80,50.0,35,2,4,0.7414638771463913,True,4.531856939211743,0.8468852448490799,True,False
94.24,1001,t1001,80,50.0,52,6,1,0.6331533879621268,True,3.673426295623376,0.865671523115803,True,False
94.3,1002,t1002,300,250.0,74,6,10,0.6277516764833129,True,67.64741892768272,2.931605351420132,True,False
94.31,1003,t1003,220,150.0,65,10,6,0.6953968613288147,True,36.46478853552625,2.003175447124619,True,False
94.35,1004,t1004,80,50.0,33,6,1,0.6359209868695509,True,4.196607738492112,0.7423046625410076,True,False
94.36,1005,t1005,220,700.0,33,9,10,0.661907971585871,False,129.01697823190145,2.395747103586839,False,False
94.37,1006,t1006,300,1200.0,25,5,2,0.6772427847387973,False,364.38650849925114,3.2162693767987323,False,False
94.5,1008,t1008,300,250.0,73,5,4,0.7560353030710498,True,63.7264696681805,3.2535416951335265,True,False
94.61,1009,t1009,270,200.0,77,4,2,0.6997858452173177,True,63.51344364885192,2.7693650776734873,True,False
94.71,1010,t1010,120,75.0,29,7,5,0.7049025699298407,True,8.001004178826777,1.145802990596815,True,False
94.75,1011,t1011,300,1000.0,39,5,2,0.6731061108622032,False,292.7438858679433,2.735900593722224,False,False
