topology,malicious_ratio,model,trust_mse,trust_mse_std,trust_rmse,trust_rmse_std,trust_mae,trust_mae_std,detection_accuracy,detection_accuracy_std,detection_precision,detection_precision_std,detection_recall,detection_recall_std,detection_f1,detection_f1_std,detection_auc,detection_auc_std
Topo4MEC_50N50E,10%,Transformer,0.0254264467385512,0.007419055092769472,0.15719836636562629,0.026741734246857073,0.1083700095536277,0.022831892496275413,0.9179999999999999,0.03599999999999998,0.2,0.4000000000000001,0.18,0.36,0.1894736842105263,0.37894736842105253,0.33704938271604934,0.15600079529575023
Topo4MEC_50N50E,15%,GAT,0.030813686266046702,0.00511373880214312,0.1748519590012078,0.015507375647950279,0.13124875172055597,0.011290452101675922,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14596714654854187,0.08327252672433114
Topo4MEC_50N50E,15%,GraphSAGE,0.0297629297619879,0.007922635119529356,0.17055165293710287,0.025981983034593852,0.1173858194692513,0.02632843323386594,0.884,0.047999999999999994,0.2,0.4000000000000001,0.17142857142857143,0.34285714285714286,0.18461538461538463,0.36923076923076925,0.042312661498708014,0.04603826361304954
Topo4MEC_50N50E,15%,GCN,0.03012348563329691,0.007977125205020757,0.17159096039391875,0.026077345424515886,0.11936904057333757,0.02656843290058647,0.884,0.047999999999999994,0.2,0.4000000000000001,0.17142857142857143,0.34285714285714286,0.18461538461538463,0.36923076923076925,0.4306755260243632,0.14888285040857888
Topo4MEC_50N50E,15%,Transformer,0.02894805420575214,0.00942771494363282,0.16693835158966383,0.03285789059385766,0.12044105185182694,0.028827008665037988,0.8859999999999999,0.052000000000000005,0.2,0.4000000000000001,0.18571428571428572,0.37142857142857144,0.1925925925925926,0.38518518518518524,0.10468807678110004,0.04275336353113284
Topo4MEC_50N50E,20%,GAT,0.037148679831681776,0.012621994579178288,0.18868812334594326,0.03931249088862058,0.1590507786674747,0.036974087132921045,0.8320000000000001,0.06399999999999996,0.2,0.4000000000000001,0.16,0.32,0.17777777777777776,0.3555555555555555,0.20875694444444443,0.11679494105556473
Topo4MEC_50N50E,20%,GraphSAGE,0.03779489728553723,0.010723436551937861,0.19181507912516998,0.03165237282956844,0.14276371954113384,0.03854269907093894,0.8346666666666666,0.06933333333333333,0.2,0.4000000000000001,0.17333333333333334,0.3466666666666667,0.18571428571428572,0.37142857142857144,0.10022916666666667,0.05892145489736503
Topo4MEC_50N50E,20%,GCN,0.0376254411391098,0.009490239885646214,0.19203790028102616,0.027329215041132213,0.14750605082503385,0.03300957541981335,0.8326666666666667,0.06533333333333334,0.2,0.4000000000000001,0.16333333333333333,0.32666666666666666,0.1798165137614679,0.35963302752293574,0.41991666666666666,0.1530458847015302
Topo4MEC_50N50E,20%,Transformer,0.03651164887780069,0.012902128907434899,0.1866134306476779,0.04107403534722391,0.14593832080126673,0.04407062507745576,0.8373333333333333,0.07466666666666665,0.2,0.4000000000000001,0.18666666666666668,0.37333333333333335,0.19310344827586207,0.3862068965517241,0.1465138888888889,0.05257726255529706
Topo4MEC_100N150E,10%,GAT,0.036454962348464535,0.007044866824432974,0.19009184712220728,0.01788999737652062,0.15274769238752953,0.03440288641366262,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29083282942806754,0.07946308924159917
Topo4MEC_100N150E,10%,GraphSAGE,0.030590988930678093,0.003203310067808548,0.1746662130047159,0.009094117069254505,0.11628062663942515,0.013222290621370559,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10730190224237843,0.1013605578525948
